day,mode,minutes,km,delayed
2025-01-01,train,72,4.8,false
2025-01-02,tube,18,17.7,false
2025-01-03,bus,40,9.1,true
2025-01-06,bike,34,18.8,true
2025-01-07,bus,58,11.1,false
2025-01-08,bike,25,14.1,true
2025-01-09,tube,69,2.1,false
2025-01-10,train,65,13.5,true
2025-01-13,bus,66,18.7,true
2025-01-14,train,35,18.5,true
2025-01-15,bus,77,18.9,false
2025-01-16,bike,58,5.9,false
2025-01-17,train,42,13.8,false
2025-01-20,walk,72,18.7,false
2025-01-21,tube,51,12.5,false
2025-01-22,train,73,9,false
2025-01-23,tube,61,24.3,false
2025-01-24,bike,59,9,true
2025-01-27,train,32,12.6,false
2025-01-28,walk,43,14.1,false
2025-01-29,train,19,2.9,true
2025-01-30,train,38,24.3,false
2025-01-31,walk,38,24.5,false
2025-02-03,bus,25,3.2,false
2025-02-04,bus,43,21,false
2025-02-05,train,76,1.8,false
2025-02-06,bike,20,18.7,true
2025-02-07,train,21,12.9,false
2025-02-10,bike,74,6.5,false
2025-02-11,walk,14,9.7,false
2025-02-12,walk,51,13,false
2025-02-13,walk,72,20.6,true
2025-02-14,bike,42,14.8,false
2025-02-17,walk,71,4.2,false
2025-02-18,bike,50,6.8,true
2025-02-19,walk,69,2.4,true
2025-02-20,train,45,21.4,false
2025-02-21,bike,58,3.7,false
2025-02-24,walk,57,19.2,false
2025-02-25,walk,31,23.6,false
2025-02-26,train,66,5.2,false
2025-02-27,bike,30,23.3,true
2025-02-28,tube,34,2.1,true
2025-03-03,walk,70,8.5,false
2025-03-04,bus,45,21.6,false
2025-03-05,tube,32,10.8,false
2025-03-06,walk,67,21.7,false
2025-03-07,tube,71,9.2,false
2025-03-10,tube,67,22.6,false
2025-03-11,tube,42,3.1,false
2025-03-12,bus,14,3.9,false
2025-03-13,train,33,3.3,true
2025-03-14,walk,65,1.8,false
2025-03-17,bus,61,20.9,false
2025-03-18,tube,37,13.9,false
2025-03-19,tube,24,18.1,true
2025-03-20,bus,33,19.7,false
2025-03-21,tube,40,6.3,false
2025-03-24,bus,36,4.9,false
2025-03-25,train,34,16.7,false
2025-03-26,walk,66,6.7,false
2025-03-27,bike,72,5.3,false
2025-03-28,walk,33,14.1,false
2025-03-31,walk,77,19.9,false
2025-04-01,tube,42,4.6,false
2025-04-02,tube,54,12,false
2025-04-03,tube,68,9.1,false
2025-04-04,walk,23,10.2,false
2025-04-07,walk,15,4.8,false
2025-04-08,bus,40,12.2,false
2025-04-09,bike,74,15.7,false
2025-04-10,walk,35,3.6,true
2025-04-11,bus,56,20.3,false
2025-04-14,bus,49,7.6,false
2025-04-15,walk,60,8,false
2025-04-16,bike,19,23.5,false
2025-04-17,bike,19,23.6,false
2025-04-18,walk,21,6.9,false
2025-04-21,train,44,3.6,false
2025-04-22,walk,60,14.7,false
2025-04-23,walk,63,20.4,false
2025-04-24,walk,52,3.6,false
2025-04-25,bus,33,19.3,false
2025-04-28,walk,71,11.2,false
2025-04-29,bus,18,23.5,false
2025-04-30,walk,20,10.9,false
2025-05-01,train,61,18.4,true
2025-05-02,bike,27,2.6,false
2025-05-05,bike,27,21.5,false
2025-05-06,bus,20,10.7,true
2025-05-07,bus,53,5.9,false
2025-05-08,walk,24,19.4,false
2025-05-09,walk,46,19.6,false
2025-05-12,tube,64,6.6,false
2025-05-13,bus,74,14.3,false
2025-05-14,train,40,16.3,false
2025-05-15,train,71,23.3,false
2025-05-16,train,50,10.8,false
2025-05-19,bike,55,13.9,false
2025-05-20,train,51,3,false
2025-05-21,tube,29,2.9,true
2025-05-22,train,33,21.7,true
2025-05-23,bus,44,11.8,false
2025-05-26,walk,74,11.5,false
2025-05-27,walk,19,17.6,false
2025-05-28,bike,26,8.8,true
2025-05-29,walk,62,3.9,false
2025-05-30,bike,67,20.1,false
2025-06-02,bus,57,22.7,false
2025-06-03,tube,60,15.2,false
2025-06-04,walk,47,10.1,false
2025-06-05,bike,30,21.4,false
2025-06-06,bike,59,17.8,false
2025-06-09,walk,71,4.1,false
2025-06-10,tube,57,16.1,false
2025-06-11,tube,63,6.6,false
2025-06-12,bus,25,21.6,false
2025-06-13,train,62,4.8,false
2025-06-16,bus,25,10.7,false
2025-06-17,tube,51,18.7,true
2025-06-18,train,75,22.3,false
2025-06-19,tube,73,3.9,false
2025-06-20,bike,36,18.7,false
2025-06-23,tube,69,18.1,true
2025-06-24,train,54,2.7,false
2025-06-25,walk,24,7.4,true
2025-06-26,walk,30,22.4,false
2025-06-27,bike,42,13.6,false
2025-06-30,walk,56,16,false
2025-07-01,walk,63,4.5,true
2025-07-02,bus,66,17.3,false
2025-07-03,bike,66,9.1,false
2025-07-04,walk,54,4.4,false
2025-07-07,bus,69,16.1,true
2025-07-08,train,50,2.9,true
2025-07-09,walk,15,20,true
2025-07-10,bus,29,1.8,false
2025-07-11,walk,35,11.4,false
2025-07-14,bike,22,3.7,false
2025-07-15,bus,14,23.1,false
2025-07-16,bike,35,16.3,false
2025-07-17,walk,56,10,false
2025-07-18,train,54,2.3,false
2025-07-21,walk,41,9.1,true
2025-07-22,bike,75,5.7,false
2025-07-23,bus,72,13.3,false
2025-07-24,walk,31,18.9,false
2025-07-25,tube,18,4.3,false
2025-07-28,walk,36,8,false
2025-07-29,bus,36,12.7,false
2025-07-30,train,32,24,false
2025-07-31,tube,34,10.5,false
2025-08-01,walk,30,11.7,false
2025-08-04,bus,46,5.2,false
2025-08-05,walk,59,12.1,false
2025-08-06,bike,55,6.6,false
2025-08-07,bus,53,4.7,false
2025-08-08,bike,22,17.3,false
2025-08-11,tube,67,10.5,false
2025-08-12,walk,45,1.7,false
2025-08-13,train,60,10.8,false
2025-08-14,bike,72,14.1,false
2025-08-15,tube,14,11.9,false
2025-08-18,tube,57,15.6,false
2025-08-19,tube,34,18.5,false
2025-08-20,bus,30,15.2,false
2025-08-21,walk,16,20.4,true
2025-08-22,train,64,16,true
2025-08-25,tube,55,6.5,false
2025-08-26,bus,19,12.5,false
2025-08-27,train,16,21.1,false
2025-08-28,tube,36,4.1,false
2025-08-29,train,42,6.3,false
2025-09-01,bus,28,1.6,false
2025-09-02,bus,36,23.7,false
2025-09-03,tube,24,8.4,false
2025-09-04,train,57,5.2,true
2025-09-05,train,45,18.6,false
2025-09-08,bike,32,23.4,false
2025-09-09,tube,74,13.1,false
2025-09-10,tube,22,8,true
2025-09-11,bus,61,11.3,false
2025-09-12,tube,51,10,false
2025-09-15,tube,72,14.6,false
2025-09-16,tube,63,9,false
2025-09-17,train,70,8.5,true
2025-09-18,walk,40,17.4,false
2025-09-19,walk,36,11.1,false
2025-09-22,tube,52,16.4,true
2025-09-23,bus,55,20.6,false
2025-09-24,train,60,10.7,false
2025-09-25,tube,16,20.1,false
2025-09-26,walk,17,8,false
2025-09-29,train,24,4,false
2025-09-30,bike,30,2.1,false
2025-10-01,walk,66,3.4,false
2025-10-02,walk,66,22.8,false
2025-10-03,bike,20,15.8,false
2025-10-06,bus,73,12.1,true
2025-10-07,bike,34,12.3,false
2025-10-08,bike,44,21.6,true
2025-10-09,bus,32,17.2,false
2025-10-10,tube,49,20.2,false
2025-10-13,bus,43,12.7,false
2025-10-14,bike,38,3.8,false
2025-10-15,bike,43,18.7,false
2025-10-16,tube,22,20.2,false
2025-10-17,bus,17,10.4,false
2025-10-20,train,42,10.1,false
2025-10-21,train,68,22.3,false
2025-10-22,bus,53,22,false
2025-10-23,tube,24,6,false
2025-10-24,tube,33,8.4,false
2025-10-27,train,53,7.9,true
2025-10-28,walk,55,10.5,false
2025-10-29,tube,38,7.3,false
2025-10-30,bike,18,1.8,false
2025-10-31,tube,59,22.9,false
2025-11-03,train,67,19.1,false
2025-11-04,tube,67,6.1,true
2025-11-05,train,46,5.6,false
2025-11-06,walk,23,23.8,false
2025-11-07,train,14,23.2,false
2025-11-10,bike,48,16.8,true
2025-11-11,bike,66,14.1,true
2025-11-12,bike,60,4.4,false
2025-11-13,tube,18,22.8,false
2025-11-14,bike,24,13.2,true
2025-11-17,train,75,14.6,false
2025-11-18,bike,62,10.5,false
2025-11-19,walk,76,7.3,false
2025-11-20,tube,30,22.6,false
2025-11-21,bike,77,3,false
2025-11-24,walk,19,1.5,true
2025-11-25,train,14,20.8,false
2025-11-26,walk,55,18.4,false
2025-11-27,bike,32,1.3,false
2025-11-28,bike,20,7.1,false
2025-12-01,bus,72,14.5,false
2025-12-02,walk,74,23.3,false
2025-12-03,train,15,17,false
2025-12-04,walk,27,12.1,false
2025-12-05,bus,41,6.6,false
2025-12-08,tube,76,11.7,false
2025-12-09,bike,56,5.6,true
2025-12-10,tube,33,11.3,false
2025-12-11,bus,19,19.1,false
2025-12-12,walk,29,16.2,false
2025-12-15,bike,37,5.8,false
2025-12-16,bus,14,12.8,true
2025-12-17,bike,64,11.3,false
2025-12-18,tube,33,7.4,true
2025-12-19,train,15,6.6,false
2025-12-22,walk,71,17.2,false
2025-12-23,bus,14,4,false
2025-12-24,train,59,9.7,false
2025-12-25,tube,14,12.7,false
2025-12-26,tube,77,14.9,false
2025-12-29,walk,47,10.2,false
2025-12-30,walk,77,19.9,false
2025-12-31,bike,52,21.5,false
