day,item,qty,unit_price,total
2025-01-01,Smörgås crispbread,4,12.03,48.12
2025-01-01,"Oat milk, barista",2,1.28,2.56
2025-01-01,Açaí pulp,3,3.51,10.53
2025-01-01,Açaí pulp,3,11.49,34.47
2025-01-01,"Café beans, whole",4,5.59,22.36
2025-01-02,Smörgås crispbread,2,2.05,4.1
2025-01-03,Jalapeño peppers,4,9.44,37.76
2025-01-03,"Gruyère, aged",2,4.07,8.14
2025-01-03,Açaí pulp,1,1.73,1.73
2025-01-03,Jalapeño peppers,4,4.42,17.68
2025-01-03,"Gruyère, aged",1,3.91,3.91
2025-01-05,Smörgås crispbread,3,7.44,22.32
2025-01-05,Jalapeño peppers,4,4.6,18.4
2025-01-05,Za’atar,4,4.12,16.48
2025-01-05,Chèvre,4,1.78,7.12
2025-01-05,"Oat milk, barista",3,9.42,28.26
2025-01-09,Chèvre,3,4.54,13.62
2025-01-09,"Café beans, whole",4,8.28,33.12
2025-01-09,Jalapeño peppers,3,7.22,21.66
2025-01-09,Açaí pulp,2,2,4
2025-01-10,"Gruyère, aged",4,3.9,15.6
2025-01-10,"Café beans, whole",3,7.25,21.75
2025-01-12,Chèvre,1,7.96,7.96
2025-01-12,Za’atar,1,12.02,12.02
2025-01-14,Smörgås crispbread,4,1.04,4.16
2025-01-20,Açaí pulp,1,3.09,3.09
2025-01-20,"Gruyère, aged",2,9.95,19.9
2025-01-22,Chèvre,2,7.02,14.04
2025-01-23,"Café beans, whole",3,6.05,18.15
2025-01-23,"Gruyère, aged",2,5.99,11.98
2025-01-24,"Oat milk, barista",2,4.09,8.18
2025-01-24,Za’atar,2,6.89,13.78
2025-01-24,Açaí pulp,3,12.25,36.75
2025-01-25,Chèvre,2,2.72,5.44
2025-01-25,"Café beans, whole",1,5.49,5.49
2025-01-26,Za’atar,2,10.2,20.4
2025-01-26,Açaí pulp,3,6.48,19.44
2025-01-26,"Gruyère, aged",3,5.28,15.84
2025-01-26,"Sourdough, seeded",2,10.49,20.98
2025-01-26,Chèvre,2,6.55,13.1
2025-01-27,Smörgås crispbread,4,8.16,32.64
2025-01-27,Jalapeño peppers,2,6.77,13.54
