day,place,city,lat,lon,minutes
2025-01-04,Victoria Park,London,53.3674,0.1276,239
2025-01-08,Peckham Levels,London,51.1054,-1.7691,258
2025-01-09,Brighton Beach,Brighton,53.2574,0.1337,193
2025-01-11,Kew Gardens,Richmond,53.2146,-0.6724,213
2025-01-13,Peckham Levels,London,51.6529,-1.793,255
2025-01-15,Peckham Levels,London,52.1613,-1.1878,186
2025-01-18,Barbican Centre,London,51.5005,-0.7399,33
2025-01-20,Barbican Centre,London,53.376,-0.0729,231
2025-01-21,Barbican Centre,London,52.8108,-1.0187,58
2025-01-22,Barbican Centre,London,51.7884,-1.6284,155
2025-01-24,Barbican Centre,London,52.8145,-1.6329,84
2025-01-25,Peckham Levels,London,53.0771,-0.5088,82
2025-01-27,Whitworth Gallery,Manchester,51.4621,-0.3507,240
2025-01-28,Barbican Centre,London,51.0838,-0.824,41
2025-01-29,Kew Gardens,Richmond,52.3376,-1.4111,181
2025-01-30,Kew Gardens,Richmond,51.938,-0.7981,21
2025-02-02,Brighton Beach,Brighton,50.9903,-0.3566,67
2025-02-03,Kew Gardens,Richmond,53.4751,-1.876,252
2025-02-08,Peckham Levels,London,51.6698,-0.3731,216
2025-02-10,Victoria Park,London,51.0734,-2.2762,150
2025-02-16,Barbican Centre,London,51.7264,-1.4899,96
2025-02-17,Victoria Park,London,53.4867,-0.7886,130
2025-02-19,Victoria Park,London,52.8444,-1.928,129
2025-02-20,Brighton Beach,Brighton,52.8914,-0.4247,235
2025-02-21,Whitworth Gallery,Manchester,51.3898,-2.1471,111
2025-02-26,Whitworth Gallery,Manchester,52.8459,-0.1979,241
2025-02-27,Whitworth Gallery,Manchester,52.8163,0.0575,29
2025-03-01,Peckham Levels,London,52.229,-2.2112,205
2025-03-03,Kew Gardens,Richmond,51.4655,-0.5715,144
2025-03-12,Peckham Levels,London,52.962,-1.6364,179
2025-03-13,Kew Gardens,Richmond,52.2422,-0.7819,196
2025-03-16,Victoria Park,London,53.2921,-0.305,125
2025-03-18,Peckham Levels,London,51.0394,-1.9297,46
2025-03-21,Kew Gardens,Richmond,52.6925,0.1118,191
2025-03-22,Brighton Beach,Brighton,50.8578,-0.8136,235
2025-03-23,Whitworth Gallery,Manchester,53.4024,-1.1748,33
2025-03-29,Peckham Levels,London,53.1208,-0.181,146
2025-03-30,Victoria Park,London,51.1401,-1.048,177
2025-03-31,Kew Gardens,Richmond,52.8845,-0.9475,228
2025-04-01,Peckham Levels,London,51.4254,-1.5532,205
2025-04-03,Barbican Centre,London,52.1504,-1.9435,238
2025-04-04,Kew Gardens,Richmond,51.2898,0.0323,93
2025-04-05,Peckham Levels,London,52.849,-1.0216,241
2025-04-10,Kew Gardens,Richmond,51.4714,-0.9609,107
2025-04-16,Peckham Levels,London,51.0482,-1.9578,245
2025-04-17,Barbican Centre,London,52.4897,-0.1427,152
2025-04-19,Whitworth Gallery,Manchester,52.0303,0.1378,105
2025-04-20,Victoria Park,London,52.8693,-0.0622,235
2025-04-25,Kew Gardens,Richmond,52.3235,-0.2152,200
2025-04-26,Kew Gardens,Richmond,51.394,-0.3641,204
2025-04-28,Kew Gardens,Richmond,52.0049,-0.8599,127
2025-04-30,Barbican Centre,London,51.782,-0.6135,27
2025-05-01,Barbican Centre,London,53.4906,-0.4566,148
2025-05-04,Victoria Park,London,51.5334,-0.029,230
2025-05-05,Victoria Park,London,52.7846,-2.0559,149
2025-05-11,Kew Gardens,Richmond,52.2693,-0.6409,255
2025-05-17,Whitworth Gallery,Manchester,52.6537,-1.5989,231
2025-05-21,Kew Gardens,Richmond,51.1672,-0.5227,238
2025-05-23,Barbican Centre,London,52.8493,-0.3638,183
2025-05-24,Peckham Levels,London,51.0375,-0.407,138
2025-05-27,Peckham Levels,London,52.7018,-1.1956,59
2025-05-28,Brighton Beach,Brighton,51.742,-1.6645,211
2025-06-04,Brighton Beach,Brighton,53.0234,-0.9251,160
2025-06-06,Peckham Levels,London,52.6923,-1.1071,234
2025-06-11,Kew Gardens,Richmond,51.5494,-0.1132,154
2025-06-12,Kew Gardens,Richmond,51.1061,-0.3289,154
2025-06-15,Whitworth Gallery,Manchester,52.088,-1.1611,96
2025-06-21,Brighton Beach,Brighton,51.2502,-1.7558,70
2025-06-23,Whitworth Gallery,Manchester,52.6209,-1.79,214
2025-06-24,Whitworth Gallery,Manchester,53.3042,-0.614,156
2025-06-28,Peckham Levels,London,52.2624,-1.1811,142
2025-06-30,Kew Gardens,Richmond,51.1797,-1.9051,213
2025-07-02,Barbican Centre,London,53.1716,-2.1546,95
2025-07-04,Kew Gardens,Richmond,51.3036,-1.5708,37
2025-07-07,Barbican Centre,London,53.0127,-1.7029,95
2025-07-08,Brighton Beach,Brighton,50.9627,-1.9585,137
2025-07-09,Kew Gardens,Richmond,51.063,-0.1021,242
2025-07-10,Brighton Beach,Brighton,53.2948,-0.2429,211
2025-07-11,Victoria Park,London,52.5633,-1.2613,23
2025-07-12,Victoria Park,London,50.9405,-0.3457,150
2025-07-13,Barbican Centre,London,53.3863,-1.945,75
2025-07-16,Peckham Levels,London,52.7879,-0.1213,84
2025-07-18,Victoria Park,London,51.4271,-1.983,41
