day,app,minutes,pickups
2025-01-01,Messages,113,35
2025-01-01,Mail,122,28
2025-01-01,Maps,130,9
2025-01-01,Photos,28,4
2025-01-01,Slack,63,38
2025-01-01,Spotify,21,37
2025-01-01,Kindle,132,39
2025-01-02,Messages,15,20
2025-01-02,Safari,74,25
2025-01-02,Mail,69,28
2025-01-02,Maps,47,34
2025-01-02,Photos,91,5
2025-01-02,Slack,48,32
2025-01-02,Spotify,43,7
2025-01-02,Kindle,13,23
2025-01-03,Messages,94,10
2025-01-03,Safari,13,24
2025-01-03,Mail,5,2
2025-01-03,Photos,38,2
2025-01-03,Slack,49,28
2025-01-03,Kindle,57,28
2025-01-04,Mail,64,10
2025-01-04,Maps,47,11
2025-01-04,Photos,42,20
2025-01-04,Slack,23,26
2025-01-04,Spotify,101,23
2025-01-04,Kindle,69,13
2025-01-05,Safari,123,31
2025-01-05,Maps,11,31
2025-01-05,Kindle,24,16
2025-01-06,Messages,104,39
2025-01-06,Safari,24,10
2025-01-06,Photos,110,23
2025-01-06,Slack,104,20
2025-01-06,Spotify,39,21
2025-01-07,Messages,131,37
2025-01-07,Safari,117,15
2025-01-07,Photos,76,22
2025-01-07,Slack,44,22
2025-01-07,Spotify,45,38
2025-01-07,Kindle,78,37
2025-01-08,Messages,55,18
2025-01-08,Safari,72,4
2025-01-08,Maps,92,23
2025-01-08,Photos,44,30
2025-01-08,Kindle,70,30
2025-01-09,Messages,35,12
2025-01-09,Safari,48,26
2025-01-09,Mail,116,18
2025-01-09,Maps,27,12
2025-01-09,Photos,104,24
2025-01-09,Slack,141,11
2025-01-09,Spotify,101,37
2025-01-09,Kindle,63,15
2025-01-10,Safari,84,33
2025-01-10,Maps,60,3
2025-01-10,Photos,4,10
2025-01-10,Slack,104,22
2025-01-10,Kindle,142,12
2025-01-11,Mail,105,8
2025-01-11,Maps,20,2
2025-01-11,Photos,22,35
2025-01-11,Spotify,80,26
2025-01-11,Kindle,33,22
2025-01-12,Messages,84,24
2025-01-12,Safari,88,19
2025-01-12,Mail,90,9
2025-01-12,Maps,131,36
2025-01-12,Slack,81,35
2025-01-12,Spotify,111,9
2025-01-13,Messages,118,31
2025-01-13,Mail,7,6
2025-01-13,Maps,11,27
2025-01-13,Photos,72,35
2025-01-13,Kindle,140,7
2025-01-14,Messages,110,4
2025-01-14,Safari,112,10
2025-01-14,Mail,129,3
2025-01-14,Maps,44,25
2025-01-14,Photos,16,11
2025-01-14,Slack,128,28
2025-01-14,Kindle,29,20
2025-01-15,Messages,66,1
2025-01-15,Safari,29,7
2025-01-15,Photos,103,20
2025-01-15,Slack,32,14
2025-01-16,Safari,7,21
2025-01-16,Mail,59,5
2025-01-16,Maps,81,10
2025-01-16,Photos,112,14
2025-01-16,Slack,21,6
2025-01-16,Spotify,31,38
2025-01-16,Kindle,42,17
2025-01-17,Messages,99,38
2025-01-17,Mail,65,34
2025-01-17,Maps,15,27
2025-01-17,Photos,28,32
2025-01-17,Slack,28,11
2025-01-17,Spotify,6,34
2025-01-17,Kindle,50,19
2025-01-18,Messages,110,3
2025-01-18,Maps,14,21
2025-01-18,Photos,138,36
2025-01-18,Slack,35,18
2025-01-19,Safari,39,40
