day,hours,quality,restless_min
2025-01-01,8.5,fair,10
2025-01-02,7.4,good,23
2025-01-03,8.9,fair,6
2025-01-04,5.5,great,27
2025-01-05,9.3,great,58
2025-01-06,6.9,good,15
2025-01-07,5.2,poor,40
2025-01-08,7.7,good,67
2025-01-09,7.6,fair,44
2025-01-10,8.5,poor,2
2025-01-12,7.2,poor,5
2025-01-13,6.2,great,38
2025-01-15,6.3,fair,56
2025-01-16,7.9,great,71
2025-01-17,6.4,great,17
2025-01-18,5.7,fair,72
2025-01-19,5.4,good,40
2025-01-20,6,great,66
2025-01-21,5.9,good,12
2025-01-22,5.7,fair,8
2025-01-23,7.5,fair,12
2025-01-24,8.4,fair,55
2025-01-27,7,fair,39
2025-01-28,7.6,fair,14
2025-01-29,5.5,great,42
2025-01-30,9.1,poor,27
2025-01-31,8.1,poor,41
2025-02-01,7.1,good,39
2025-02-02,9.1,great,38
2025-02-03,5.2,great,7
2025-02-04,8.4,good,60
2025-02-05,5.1,poor,13
2025-02-06,8.8,good,63
2025-02-07,7.7,poor,14
2025-02-08,6.2,good,54
2025-02-09,6.8,good,23
2025-02-10,8.3,good,10
2025-02-11,4.9,fair,36
2025-02-12,7.8,poor,53
2025-02-13,6.9,fair,41
2025-02-14,5.7,good,33
2025-02-15,8.1,poor,13
2025-02-16,5.2,poor,38
2025-02-17,9.2,great,57
2025-02-18,5.5,good,74
2025-02-19,5.9,good,26
2025-02-20,5.6,poor,54
2025-02-21,5.7,good,50
2025-02-22,7.1,fair,32
2025-02-23,5.5,fair,51
2025-02-24,7.8,fair,24
2025-02-25,7.8,great,69
2025-02-27,7.9,good,32
2025-02-28,8.7,fair,43
2025-03-01,8.5,fair,58
2025-03-02,8.7,good,9
2025-03-03,6.8,fair,34
2025-03-04,5.6,fair,6
2025-03-05,4.3,poor,60
2025-03-06,7.7,fair,4
2025-03-07,7.8,poor,5
2025-03-08,7.5,poor,60
2025-03-09,8.7,fair,19
2025-03-10,6,great,13
2025-03-11,6.4,great,11
2025-03-12,9.1,good,36
2025-03-13,7.4,poor,58
2025-03-14,6.8,fair,49
2025-03-15,4.6,great,17
2025-03-17,8.2,good,29
2025-03-18,5,great,42
2025-03-19,8.1,fair,10
2025-03-20,7.8,great,16
2025-03-21,4.4,poor,37
2025-03-22,7.3,poor,20
2025-03-23,5,poor,61
2025-03-24,5.3,good,62
2025-03-26,9.1,poor,41
2025-03-27,8,great,0
2025-03-28,6.1,great,2
2025-03-31,8.7,poor,38
2025-04-01,5.4,fair,38
2025-04-02,7.3,good,40
2025-04-03,7.7,poor,14
2025-04-04,7.7,good,7
2025-04-05,4.8,great,63
2025-04-06,7.4,poor,32
2025-04-07,8,great,11
2025-04-08,6.3,poor,57
2025-04-09,9.2,poor,4
2025-04-10,7.9,good,52
2025-04-11,6.4,poor,11
2025-04-12,8.1,poor,38
2025-04-13,8.3,great,41
2025-04-14,5.5,great,25
2025-04-15,6.2,good,2
2025-04-16,7.1,poor,24
2025-04-17,6.9,poor,42
2025-04-18,5,fair,35
