day,steps,floors
2025-01-01,17465,0
2025-01-02,19034,12
2025-01-03,6142,8
2025-01-04,9893,20
2025-01-05,3423,10
2025-01-06,15516,22
2025-01-07,20322,1
2025-01-08,8822,9
2025-01-09,3066,21
2025-01-10,18719,20
2025-01-11,19745,19
2025-01-12,2987,1
2025-01-13,20705,15
2025-01-14,17002,24
2025-01-15,19290,14
2025-01-16,7333,24
2025-01-17,5976,10
2025-01-18,18843,18
2025-01-19,20687,12
2025-01-20,11044,21
2025-01-21,8597,13
2025-01-22,11267,10
2025-01-23,3906,13
2025-01-24,8175,23
2025-01-25,14076,12
2025-01-26,13575,1
2025-01-27,14167,22
2025-01-28,15199,3
2025-01-29,8388,14
2025-01-30,14999,0
2025-01-31,15904,15
2025-02-01,2615,2
2025-02-02,8313,24
2025-02-03,17385,6
2025-02-04,6344,3
2025-02-05,18720,26
2025-02-06,20061,13
2025-02-07,6359,22
2025-02-08,4664,21
2025-02-09,4615,23
2025-02-10,20014,23
2025-02-11,5055,9
2025-02-12,14616,23
2025-02-13,2928,1
2025-02-14,13844,25
2025-02-15,15633,11
2025-02-16,20628,27
2025-02-17,19767,13
2025-02-18,16992,15
2025-02-19,18953,7
2025-02-20,8486,18
2025-02-21,12518,16
2025-02-22,16731,22
2025-02-23,18347,3
2025-02-24,1961,26
2025-02-25,4478,7
2025-02-26,10947,25
2025-02-27,19665,19
2025-02-28,20965,14
2025-03-01,10644,22
2025-03-02,16094,11
2025-03-03,9241,12
2025-03-04,20034,14
2025-03-05,17907,20
2025-03-06,2317,11
2025-03-07,16689,19
2025-03-08,6605,0
2025-03-09,20396,25
2025-03-10,16929,28
2025-03-11,15148,23
2025-03-12,19669,5
2025-03-13,13765,11
2025-03-14,9164,22
2025-03-15,20842,26
2025-03-16,1796,8
2025-03-17,7928,23
2025-03-18,19887,18
2025-03-19,11832,24
2025-03-20,4988,1
2025-03-21,1648,21
2025-03-22,4429,3
2025-03-23,6264,16
2025-03-24,5326,10
2025-03-25,19812,20
2025-03-26,12852,6
2025-03-27,12180,21
2025-03-28,12455,19
2025-03-29,8256,21
2025-03-30,16947,15
2025-03-31,17433,22
2025-04-01,15839,10
2025-04-02,17276,11
2025-04-03,3979,27
2025-04-04,16881,13
2025-04-05,4574,10
2025-04-06,1209,19
2025-04-07,11900,18
2025-04-08,13462,7
2025-04-09,13314,15
2025-04-10,6294,14
2025-04-11,1307,26
2025-04-12,2870,21
2025-04-13,4768,4
2025-04-14,11428,3
2025-04-15,20618,19
2025-04-16,9607,11
2025-04-17,1898,3
2025-04-18,13586,2
2025-04-19,9300,10
2025-04-20,15405,2
2025-04-21,12409,2
2025-04-22,19791,7
2025-04-23,16841,3
2025-04-24,4168,15
2025-04-25,11443,28
2025-04-26,19817,0
2025-04-27,12073,24
2025-04-28,18768,5
2025-04-29,7101,23
2025-04-30,15558,18
2025-05-01,16231,0
2025-05-02,12031,28
2025-05-03,11792,1
2025-05-04,11627,13
2025-05-05,7140,13
2025-05-06,20361,3
2025-05-07,4519,11
2025-05-08,6478,26
2025-05-09,13879,0
2025-05-10,19857,26
2025-05-11,17361,17
2025-05-12,6291,3
2025-05-13,2862,4
2025-05-14,1948,18
2025-05-15,4524,13
2025-05-16,11534,7
2025-05-17,8844,2
2025-05-18,19953,7
2025-05-19,13009,7
2025-05-20,15903,13
2025-05-21,10762,18
2025-05-22,5145,2
2025-05-23,18954,21
2025-05-24,7267,2
2025-05-25,2809,20
