played_at,artist,track,ms_played,skipped
2025-01-01T23:27:00Z,Fela Kuti,Water No Get Enemy,379922,false
2025-01-01T16:16:00Z,Tirzah,Devotion,12848,true
2025-01-01T20:25:00Z,Björk,Hyperballad,321925,false
2025-01-01T15:33:00Z,Sault,Wildfires,264837,false
2025-01-03T11:35:00Z,Nala Sinephro,Space 1.8,93185,false
2025-01-03T10:58:00Z,Tirzah,Devotion,232292,false
2025-01-03T17:44:00Z,Nala Sinephro,Space 1.8,376096,false
2025-01-03T20:24:00Z,Fela Kuti,Water No Get Enemy,130433,false
2025-01-03T07:26:00Z,Fela Kuti,Water No Get Enemy,173889,false
2025-01-04T18:21:00Z,Khruangbin,(Zhao’s Theme),154338,false
2025-01-04T14:17:00Z,Nala Sinephro,Space 1.8,121868,false
2025-01-04T20:25:00Z,Björk,Hyperballad,219287,false
2025-01-04T15:23:00Z,Caroline Polachek,Bunny Is a Rider,8591,true
2025-01-04T13:10:00Z,Tirzah,Devotion,143447,false
2025-01-04T16:55:00Z,Fela Kuti,Water No Get Enemy,254582,false
2025-01-05T17:04:00Z,Caroline Polachek,Bunny Is a Rider,220086,false
2025-01-05T10:57:00Z,Tirzah,Devotion,182034,false
2025-01-05T21:26:00Z,Caroline Polachek,Bunny Is a Rider,7605,true
2025-01-06T11:19:00Z,Tirzah,Devotion,191399,false
2025-01-06T11:34:00Z,Nala Sinephro,Space 1.8,135942,false
2025-01-06T10:15:00Z,Mdou Moctar,Afrique Victime,31543,true
2025-01-06T22:08:00Z,Nala Sinephro,Space 1.8,159403,false
2025-01-06T08:11:00Z,Sault,Wildfires,317707,false
2025-01-06T23:42:00Z,Mdou Moctar,Afrique Victime,285072,false
2025-01-08T08:37:00Z,Khruangbin,(Zhao’s Theme),126123,false
2025-01-08T17:58:00Z,Caroline Polachek,Bunny Is a Rider,21834,true
2025-01-08T10:04:00Z,Khruangbin,(Zhao’s Theme),155639,false
2025-01-09T12:15:00Z,Björk,Hyperballad,310359,false
2025-01-09T15:13:00Z,Nala Sinephro,Space 1.8,124337,false
2025-01-09T09:46:00Z,Fela Kuti,Water No Get Enemy,127490,false
2025-01-09T18:58:00Z,Khruangbin,(Zhao’s Theme),218398,false
2025-01-09T17:09:00Z,Björk,Hyperballad,160168,false
2025-01-10T18:33:00Z,Tirzah,Devotion,353671,false
2025-01-10T21:39:00Z,Tirzah,Devotion,291707,false
2025-01-10T19:46:00Z,Khruangbin,(Zhao’s Theme),351879,false
2025-01-10T09:03:00Z,Tirzah,Devotion,166450,false
2025-01-10T23:32:00Z,Björk,Hyperballad,336660,false
2025-01-11T21:34:00Z,Fela Kuti,Water No Get Enemy,358960,false
2025-01-11T08:32:00Z,Fela Kuti,Water No Get Enemy,28018,true
2025-01-11T12:15:00Z,Tirzah,Devotion,160072,false
2025-01-12T18:29:00Z,Mdou Moctar,Afrique Victime,96942,false
