id,day,merchant,category,amt
1,2025-01-01,Pret A Manger,food,17.33
2,2025-01-01,Boots,health,11.62
3,2025-01-01,Sainsbury’s,groceries,44.93
4,2025-01-02,Nando’s,food,26.65
5,2025-01-02,Uniqlo,shopping,-49.4
6,2025-01-02,Uniqlo,shopping,101.65
7,2025-01-02,Amazon,shopping,21.7
8,2025-01-03,Sainsbury’s,groceries,43.87
9,2025-01-03,Tesco,groceries,47.17
10,2025-01-04,Sainsbury’s,groceries,47.75
11,2025-01-05,Spotify,subscriptions,5.47
12,2025-01-05,PureGym,health,55.76
13,2025-01-06,Nando’s,food,15.93
14,2025-01-06,Pret A Manger,food,32.27
15,2025-01-07,Uber,transport,8.54
16,2025-01-07,Netflix,subscriptions,9.23
17,2025-01-07,Tesco,groceries,69.17
18,2025-01-07,Uber,transport,-64.05
19,2025-01-08,Sainsbury’s,groceries,52.58
20,2025-01-09,Amazon,shopping,87.55
21,2025-01-10,TfL Oyster,transport,20.69
22,2025-01-10,Spotify,subscriptions,6.12
23,2025-01-11,Sainsbury’s,groceries,60.26
24,2025-01-11,PureGym,health,-42.71
25,2025-01-11,Nando’s,food,29.72
26,2025-01-11,Trainline,transport,15.56
27,2025-01-12,Uniqlo,shopping,65.99
28,2025-01-12,Spotify,subscriptions,16.68
29,2025-01-13,Trainline,transport,7.26
30,2025-01-13,Uber,transport,4.39
31,2025-01-14,Pret A Manger,food,27.23
32,2025-01-14,Pret A Manger,food,11.32
33,2025-01-15,TfL Oyster,transport,7.88
34,2025-01-16,Boots,health,31.66
35,2025-01-16,Amazon,shopping,47.46
36,2025-01-16,Trainline,transport,16.33
37,2025-01-17,Netflix,subscriptions,12.29
38,2025-01-17,Amazon,shopping,21.41
39,2025-01-18,TfL Oyster,transport,13.49
40,2025-01-19,Sainsbury’s,groceries,53.3
41,2025-01-19,PureGym,health,-69.47
42,2025-01-19,PureGym,health,37.73
43,2025-01-20,Amazon,shopping,85.86
44,2025-01-21,Tesco,groceries,69.42
45,2025-01-21,Spotify,subscriptions,17.24
46,2025-01-22,Trainline,transport,8.56
47,2025-01-22,Uber,transport,5.73
48,2025-01-23,Sainsbury’s,groceries,31.12
49,2025-01-23,Sainsbury’s,groceries,40.04
50,2025-01-23,Uber,transport,6.21
51,2025-01-23,Uniqlo,shopping,86.07
52,2025-01-24,Sainsbury’s,groceries,60.69
53,2025-01-25,Amazon,shopping,76.86
54,2025-01-26,PureGym,health,34.33
55,2025-01-26,Pret A Manger,food,30.74
56,2025-01-26,Spotify,subscriptions,17.52
57,2025-01-27,Sainsbury’s,groceries,49.26
58,2025-01-28,Netflix,subscriptions,8.08
59,2025-01-28,Nando’s,food,13.85
60,2025-01-28,Boots,health,37.22
61,2025-01-29,Nando’s,food,27.54
62,2025-01-30,Uniqlo,shopping,33.92
63,2025-01-30,Amazon,shopping,35.95
64,2025-01-30,Tesco,groceries,30.35
65,2025-01-30,TfL Oyster,transport,17.51
66,2025-01-31,Amazon,shopping,97.37
67,2025-01-31,Uniqlo,shopping,53.3
68,2025-01-31,PureGym,health,36.77
69,2025-01-31,Netflix,subscriptions,11.13
70,2025-02-01,Sainsbury’s,groceries,62.95
71,2025-02-01,Sainsbury’s,groceries,50.05
72,2025-02-01,Nando’s,food,8.53
73,2025-02-02,Shell,transport,20.39
74,2025-02-02,Uber,transport,14.67
