day,kg,body_fat_pct
2025-01-01,78.7,20
2025-01-08,78.5,14.1
2025-01-15,78.8,23.2
2025-01-22,78.7,
2025-01-29,78.9,22.7
2025-02-05,78.6,16.5
2025-02-12,78.2,
2025-02-19,78.3,
2025-02-26,78.1,16.7
2025-03-05,78.2,
2025-03-12,78.6,
2025-03-19,78.2,14.6
2025-03-26,78.4,23.8
2025-04-02,78.4,
2025-04-09,78.7,15.6
2025-04-16,78.2,16.8
2025-04-23,77.9,16
2025-04-30,78,
2025-05-07,77.6,
2025-05-14,77.6,15.5
2025-05-21,77.4,
2025-05-28,77.9,17.5
2025-06-04,77.9,19.5
2025-06-11,78.2,22.2
2025-06-18,78.5,23.5
2025-06-25,78.8,21.5
2025-07-02,79.1,
2025-07-09,79.1,
2025-07-16,79.4,19.3
2025-07-23,79.1,
2025-07-30,79.4,
2025-08-06,79.2,
2025-08-13,79,
2025-08-20,79,18.6
2025-08-27,78.6,
2025-09-03,79,
2025-09-10,79.5,16.7
2025-09-17,79,
2025-09-24,79.2,
2025-10-01,79,20.9
2025-10-08,79.3,20.7
2025-10-15,79.5,14.7
2025-10-22,79,17.4
2025-10-29,78.5,22.5
2025-11-05,78.8,15.8
2025-11-12,78.4,17.2
2025-11-19,78.7,14.4
2025-11-26,78.7,22.6
2025-12-03,78.5,
2025-12-10,78.7,
2025-12-17,79.1,17.6
2025-12-24,79.4,23.3
