day,kind,minutes,calories
2025-01-02,swim,45,315
2025-01-03,cycle,91,858
2025-01-07,run,22,177
2025-01-09,gym,33,251
2025-01-11,cycle,42,239
2025-01-12,gym,48,433
2025-01-13,gym,88,592
2025-01-15,run,56,389
2025-01-16,run,76,542
2025-01-18,cycle,93,749
2025-01-20,cycle,57,508
2025-01-23,walk,47,442
2025-01-26,gym,32,229
2025-01-28,swim,36,383
2025-01-29,run,62,588
2025-01-31,run,33,247
2025-02-01,run,82,877
2025-02-02,walk,71,498
2025-02-03,walk,79,510
2025-02-04,run,46,397
2025-02-09,gym,34,336
2025-02-10,swim,42,285
2025-02-11,gym,86,826
2025-02-12,swim,25,140
2025-02-13,walk,52,526
2025-02-18,swim,86,574
2025-02-19,cycle,86,611
2025-02-20,swim,52,330
2025-02-21,swim,49,348
2025-02-25,gym,95,931
2025-02-28,cycle,20,114
2025-03-01,run,68,442
2025-03-05,run,92,891
2025-03-06,run,80,780
2025-03-07,cycle,21,226
2025-03-08,walk,69,451
2025-03-09,swim,86,839
2025-03-10,swim,72,698
2025-03-12,cycle,38,320
2025-03-13,cycle,88,742
2025-03-14,gym,70,741
2025-03-15,cycle,73,637
2025-03-18,run,89,705
2025-03-19,run,70,493
2025-03-20,walk,25,175
2025-03-23,run,32,184
2025-03-26,run,41,250
2025-03-30,cycle,72,732
2025-04-02,swim,69,604
2025-04-05,swim,83,604
2025-04-07,swim,31,320
2025-04-08,swim,50,492
2025-04-09,swim,83,749
2025-04-13,cycle,40,394
2025-04-14,run,52,495
2025-04-16,cycle,55,602
2025-04-18,gym,47,286
2025-04-23,gym,81,659
2025-04-24,run,28,260
2025-04-29,gym,80,528
2025-04-30,swim,37,336
2025-05-03,run,62,554
2025-05-04,gym,83,897
2025-05-08,run,39,374
2025-05-09,swim,20,205
2025-05-15,cycle,67,695
2025-05-19,run,65,380
2025-05-21,cycle,56,466
2025-05-22,gym,82,871
2025-05-24,run,64,392
2025-05-25,swim,55,604
2025-05-26,run,22,165
2025-05-27,run,68,543
2025-05-28,swim,56,603
2025-05-29,walk,36,369
2025-06-01,walk,42,366
2025-06-02,gym,50,420
2025-06-05,walk,38,224
2025-06-07,run,75,623
2025-06-11,run,84,814
2025-06-12,swim,67,370
2025-06-13,cycle,50,293
2025-06-14,cycle,20,214
2025-06-15,run,69,460
2025-06-16,run,92,680
2025-06-17,walk,52,454
2025-06-19,swim,22,156
2025-06-20,run,56,589
2025-06-21,run,39,391
2025-06-23,swim,25,263
2025-06-24,swim,34,272
2025-06-26,swim,51,453
2025-06-27,gym,51,401
2025-06-29,walk,62,672
2025-06-30,swim,75,731
2025-07-04,cycle,45,415
2025-07-05,swim,81,813
2025-07-06,run,53,559
2025-07-09,gym,81,819
2025-07-10,cycle,31,171
2025-07-11,cycle,39,425
2025-07-12,run,69,669
2025-07-16,run,55,322
2025-07-19,cycle,42,342
2025-07-21,walk,30,166
2025-07-23,swim,45,473
2025-07-24,cycle,77,449
2025-07-25,gym,60,427
2025-07-26,gym,28,174
2025-07-29,gym,47,321
2025-07-30,cycle,58,397
2025-08-01,run,89,503
2025-08-02,run,37,223
2025-08-04,cycle,30,252
2025-08-08,cycle,73,650
2025-08-09,walk,66,685
2025-08-13,cycle,60,506
2025-08-14,cycle,23,214
2025-08-19,cycle,25,180
2025-08-20,cycle,47,277
2025-08-22,cycle,30,167
2025-08-24,cycle,35,216
2025-08-27,run,84,601
2025-08-29,cycle,45,270
2025-09-01,swim,27,185
2025-09-02,run,85,799
2025-09-05,cycle,47,360
2025-09-06,run,63,439
2025-09-07,swim,82,737
2025-09-08,cycle,58,444
2025-09-10,gym,75,496
2025-09-12,run,53,426
2025-09-15,run,44,331
2025-09-17,gym,84,654
2025-09-18,run,66,427
2025-09-21,walk,59,449
2025-09-24,walk,59,526
2025-09-27,swim,38,240
2025-09-29,run,75,822
2025-10-01,run,55,470
2025-10-02,gym,58,434
2025-10-04,walk,93,725
2025-10-06,swim,43,329
2025-10-07,walk,86,712
2025-10-08,cycle,90,721
2025-10-09,cycle,73,552
2025-10-10,swim,46,362
2025-10-11,walk,89,824
2025-10-12,swim,77,732
2025-10-15,walk,39,384
2025-10-16,swim,65,372
2025-10-18,gym,46,338
2025-10-20,gym,83,810
2025-10-21,run,30,180
2025-10-23,swim,72,508
2025-10-26,swim,34,360
2025-10-27,walk,79,837
2025-10-28,cycle,76,474
2025-10-31,walk,48,527
2025-11-01,cycle,67,729
2025-11-04,swim,57,557
2025-11-07,swim,60,448
2025-11-08,run,23,132
2025-11-10,cycle,31,315
2025-11-11,swim,39,334
2025-11-12,swim,27,227
2025-11-16,gym,95,774
2025-11-22,run,69,589
2025-11-24,walk,52,380
2025-11-25,swim,72,427
2025-11-28,walk,59,607
2025-11-30,cycle,60,399
2025-12-02,gym,39,222
2025-12-04,cycle,81,713
2025-12-06,run,40,249
2025-12-07,gym,57,381
2025-12-08,swim,42,257
2025-12-09,swim,70,491
2025-12-12,walk,51,309
2025-12-14,cycle,88,673
2025-12-18,gym,32,321
2025-12-19,swim,29,166
2025-12-21,walk,61,638
2025-12-24,gym,44,272
2025-12-26,walk,67,468
2025-12-28,gym,20,213
